#GLoBES upto 10GeV
#log10E	nue/E	numu/E	numtau/E	nuebar/E	numubar/E	nutaubar/E
-0.36	0.3318115161	0.3318115161	0.3318115161	0.0774027002	0.0774027002	0.0774027002
-0.356	0.3323996911	0.3323996911	0.3323996911	0.0780423719	0.0780423719	0.0780423719
-0.352	0.3329933085	0.3329933085	0.3329933085	0.0786879624	0.0786879624	0.0786879624
-0.348	0.3335924186	0.3335924186	0.3335924186	0.0793395265	0.0793395265	0.0793395265
-0.344	0.3339069228	0.3339069228	0.3339069228	0.0799074554	0.0799074554	0.0799074554
-0.34	0.3341427685	0.3341427685	0.3341427685	0.0804554322	0.0804554322	0.0804554322
-0.336	0.3343807964	0.3343807964	0.3343807964	0.0810084794	0.0810084794	0.0810084794
-0.332	0.3346210268	0.3346210268	0.3346210268	0.0815666439	0.0815666439	0.0815666439
-0.328	0.33486348	0.33486348	0.33486348	0.0821299731	0.0821299731	0.0821299731
-0.324	0.3351081766	0.3351081766	0.3351081766	0.0826985146	0.0826985146	0.0826985146
-0.32	0.3353551373	0.3353551373	0.3353551373	0.0832723168	0.0832723168	0.0832723168
-0.316	0.3356043832	0.3356043832	0.3356043832	0.0838514284	0.0838514284	0.0838514284
-0.312	0.3358559353	0.3358559353	0.3358559353	0.0844358984	0.0844358984	0.0844358984
-0.308	0.3361098149	0.3361098149	0.3361098149	0.0850257764	0.0850257764	0.0850257764
-0.304	0.3363660437	0.3363660437	0.3363660437	0.0856211125	0.0856211125	0.0856211125
-0.3	0.3366091768	0.3366091768	0.3366091768	0.0862103072	0.0862103072	0.0862103072
-0.296	0.3368249803	0.3368249803	0.3368249803	0.0867826737	0.0867826737	0.0867826737
-0.292	0.3370427807	0.3370427807	0.3370427807	0.0873603362	0.0873603362	0.0873603362
-0.288	0.3372625964	0.3372625964	0.3372625964	0.0879433437	0.0879433437	0.0879433437
-0.284	0.337484446	0.337484446	0.337484446	0.0885317458	0.0885317458	0.0885317458
-0.28	0.3377083484	0.3377083484	0.3377083484	0.0891255923	0.0891255923	0.0891255923
-0.276	0.3379343225	0.3379343225	0.3379343225	0.0897249336	0.0897249336	0.0897249336
-0.272	0.3381623875	0.3381623875	0.3381623875	0.0903298205	0.0903298205	0.0903298205
-0.268	0.3383925627	0.3383925627	0.3383925627	0.0909403044	0.0909403044	0.0909403044
-0.264	0.3386248678	0.3386248678	0.3386248678	0.091556437	0.091556437	0.091556437
-0.26	0.3388593223	0.3388593223	0.3388593223	0.0921782706	0.0921782706	0.0921782706
-0.256	0.3388415011	0.3388415011	0.3388415011	0.0927115136	0.0927115136	0.0927115136
-0.252	0.3388230532	0.3388230532	0.3388230532	0.0932495195	0.0932495195	0.0932495195
-0.248	0.3388044346	0.3388044346	0.3388044346	0.0937925034	0.0937925034	0.0937925034
-0.244	0.3387856438	0.3387856438	0.3387856438	0.0943405116	0.0943405116	0.0943405116
-0.24	0.3387666791	0.3387666791	0.3387666791	0.0948935904	0.0948935904	0.0948935904
-0.236	0.3387475389	0.3387475389	0.3387475389	0.0954517867	0.0954517867	0.0954517867
-0.232	0.3387282216	0.3387282216	0.3387282216	0.096015148	0.096015148	0.096015148
-0.228	0.3387087256	0.3387087256	0.3387087256	0.096583722	0.096583722	0.096583722
-0.224	0.3386890491	0.3386890491	0.3386890491	0.097157557	0.097157557	0.097157557
-0.22	0.3385872221	0.3385872221	0.3385872221	0.0977008047	0.0977008047	0.0977008047
-0.216	0.3384178105	0.3384178105	0.3384178105	0.098219894	0.098219894	0.098219894
-0.212	0.3382468313	0.3382468313	0.3382468313	0.0987437864	0.0987437864	0.0987437864
-0.208	0.3380742701	0.3380742701	0.3380742701	0.0992725262	0.0992725262	0.0992725262
-0.204	0.3379001121	0.3379001121	0.3379001121	0.0998061585	0.0998061585	0.0998061585
-0.2	0.3377243428	0.3377243428	0.3377243428	0.1003447284	0.1003447284	0.1003447284
-0.196	0.337546947	0.337546947	0.337546947	0.1008882816	0.1008882816	0.1008882816
-0.192	0.3373679098	0.3373679098	0.3373679098	0.1014368642	0.1014368642	0.1014368642
-0.188	0.337187216	0.337187216	0.337187216	0.1019905228	0.1019905228	0.1019905228
-0.184	0.3369149892	0.3369149892	0.3369149892	0.1024872909	0.1024872909	0.1024872909
